segment,group,metric_id,metric,score,monthly_scores,is_group_score
combined-contact-centre,2 CALL AGENT GREETING,wAGENTGREETING,2 CALL AGENT GREETING OVERALL,52.1,"{'MAR-2025': np.float64(65.6), 'APR-2025': np.float64(48.6), 'MAY-2025': np.float64(45.1)}",True
combined-contact-centre,2 CALL AGENT GREETING,iQ2b,Q2b. Backgrpound Noise on Call,63.3,"{'MAR-2025': np.float64(75.0), 'APR-2025': np.float64(61.5), 'MAY-2025': np.float64(55.6)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2c,Q2c. Was call agent polite and assisting?,61.7,"{'MAR-2025': np.float64(75.0), 'APR-2025': np.float64(61.5), 'MAY-2025': np.float64(50.0)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2d,Q2d. Call Agent Attentiveness,63.3,"{'MAR-2025': np.float64(75.0), 'APR-2025': np.float64(61.5), 'MAY-2025': np.float64(55.6)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2e,Q2e. Did Call Agent Personalize Interaction?,46.7,"{'MAR-2025': np.float64(53.1), 'APR-2025': np.float64(46.2), 'MAY-2025': np.float64(41.7)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2f,Q2f. Call Agent's Manners,58.3,"{'MAR-2025': np.float64(68.8), 'APR-2025': np.float64(57.7), 'MAY-2025': np.float64(50.0)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2g,Q2g. Clarity of Call Agent's communication,63.3,"{'MAR-2025': np.float64(75.0), 'APR-2025': np.float64(61.5), 'MAY-2025': np.float64(55.6)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2h,Q2h. Did Call Agent asked relevant information?,24.7,"{'MAR-2025': np.float64(30.0), 'APR-2025': np.float64(16.9), 'MAY-2025': np.float64(31.1)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2i_1,Q2i. Did Call Agent give right information?,41.8,"{'MAR-2025': np.float64(53.8), 'APR-2025': np.float64(43.5), 'MAY-2025': np.float64(28.9)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2i_2,Q2j. Did Call Agent Confirms Appointment?,46.7,"{'MAR-2025': np.float64(68.8), 'APR-2025': np.float64(34.6), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2k_1,Q2k. Did Call Agent asked if appointment date is fine?,84.6,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(60.0), 'MAY-2025': np.float64(100.0)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2l,Q2l. Did customer get a confirmation on appointment?,75.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(60.0), 'MAY-2025': np.float64(100.0)}",False
combined-contact-centre,2 CALL AGENT GREETING,iQ2m,Q2m. Average time spent on call?,50.8,"{'MAR-2025': np.float64(71.9), 'APR-2025': np.float64(53.8), 'MAY-2025': np.float64(27.8)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,wINTERACTION,3 SALES CONSULTANT INTERACTION OVERALL,44.0,"{'MAR-2025': np.float64(42.6), 'APR-2025': np.float64(45.2), 'MAY-2025': np.float64(43.4)}",True
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3a,Q3a. Sales consultant call received,53.3,"{'MAR-2025': np.float64(62.5), 'APR-2025': np.float64(53.8), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3b,Q3b. Time to contact by consultant?,50.0,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(53.8), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3d,Q3d. Did SC understand about family & needs?,38.3,"{'MAR-2025': np.float64(31.2), 'APR-2025': np.float64(38.5), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3e,Q3e. SC's attentiveness,47.5,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(48.1), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3f,Q3f. Did SC summarize the need?,30.0,"{'MAR-2025': np.float64(25.0), 'APR-2025': np.float64(28.8), 'MAY-2025': np.float64(36.1)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3g,Q3g. Did SC Personalize the conversation?,37.5,"{'MAR-2025': np.float64(34.4), 'APR-2025': np.float64(34.6), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3h,Q3h. SC's manners throughout the interaction,45.0,"{'MAR-2025': np.float64(37.5), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,3 SALES CONSULTANT INTERACTION,iQ3i,Q3i. Clarity of SC's communication,50.0,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(53.8), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,4 OVERALL IMPRESSION,wIMPRESSION,4 OVERALL IMPRESSION OVERALL,55.8,"{'MAR-2025': np.float64(62.5), 'APR-2025': np.float64(53.8), 'MAY-2025': np.float64(52.8)}",True
combined-contact-centre,4 OVERALL IMPRESSION,iQ5a,Q5a. Follow up prior to branch visit?,36.7,"{'MAR-2025': np.float64(25.0), 'APR-2025': np.float64(38.5), 'MAY-2025': np.float64(44.4)}",False
combined-contact-centre,4 OVERALL IMPRESSION,iQ5b,Q5b. Time taken for followup call,26.7,"{'MAR-2025': np.float64(25.0), 'APR-2025': np.float64(30.8), 'MAY-2025': np.float64(22.2)}",False
